hard,,Afghanistan	Kabul
hard,,Albania	Tirana, Tirane
hard,,Algeria	Algiers
hard,,Andorra	Andorra la Vella
hard,,Angola	Luanda
hard,,Antigua and Barbuda	Saint John's
medium,,Argentina	Buenos Aires
hard,,Armenia	Yerevan
hard,,Australia	Canberra
hard,,Austria	Vienna
hard,,Azerbaijan	Baku
hard,,Bahamas	Nassau
hard,,Bahrain	Manama
hard,,Bangladesh	Dhaka
hard,,Barbados	Bridgetown
hard,,Belarus	Minsk
medium,,Belgium	Brussels
hard,,Belize	Belmopan
hard,,Benin	Porto Novo, Cotonou
hard,,Bhutan	Thimphu
hard,,Bolivia	La Paz, Sucre
hard,,Bosnia and Herzegovina	Sarajevo
hard,,Botswana	Gaborone
medium,,Brazil	Brasilia
hard,,Brunei	Bandar Seri Begawan
hard,,Bulgaria	Sofia
hard,,Burkina Faso	Ouagadougou
hard,,Burundi	Gitega, Bujumbura
hard,,Cambodia	Phnom Penh
hard,,Cameroon	Yaounde
easy,,Canada	Ottawa
hard,,Cape Verde	Praia
hard,,Central African Republic	Bangui
hard,,Chad	N'Djamena
medium,,Chile	Santiago
easy,,China	Beijing
hard,,Colombia	Bogota
hard,,Comoros	Moroni
hard,,Democratic Republic of the Congo, Congo	Kinshasa, Brazzaville
hard,,Republic of the Congo, Congo	Brazzaville, Kinshasa
medium,,Costa Rica	San Jose
hard,,Côte d'Ivoire, Ivory Coast	Yamoussoukro, Abidjan
hard,,Croatia	Zagreb
hard,,Cuba	Havana
hard,,Cyprus	Nicosia
medium,,Czech Republic, Czechia	Prague
medium,,Denmark	Copenhagen
hard,,Djibouti	Djibouti
hard,,Dominica	Roseau
hard,,Dominican Republic	Santo Domingo
hard,,East Timor	Dili
hard,,Ecuador	Quito
medium,,Egypt	Cairo
hard,,El Salvador	San Salvador
easy,,England	London
hard,,Equatorial Guinea	Malabo
hard,,Eritrea	Asmara
hard,,Estonia	Tallinn
hard,,Eswatini, Swaziland	Mbabane, Lobamba
medium,,Ethiopia	Addis Ababa
